origin,method,horizon,target,forecast,actual,train_n,mase_scale,n_predictors,predictors,error,scaled
2013-06,ordinary least squares,1,2013-07,77.97619020547515,,48,18.92414548975922,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2013-06,ridge,1,2013-07,77.96269121287203,,48,18.92414548975922,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2013-06,random forest,1,2013-07,80.08208890030869,,48,18.92414548975922,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2013-06,gradient boosting,1,2013-07,90.51835790233628,,48,18.92414548975922,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2013-06,ordinary least squares,3,2013-09,87.49305753550105,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,ridge,3,2013-09,86.70410661783139,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,random forest,3,2013-09,83.48226070027034,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,gradient boosting,3,2013-09,79.50999335843177,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,ordinary least squares,6,2013-12,12.700135999498922,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,ridge,6,2013-12,14.65032378238205,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,random forest,6,2013-12,15.842720662639348,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,gradient boosting,6,2013-12,19.32515427153929,,48,18.92414548975922,4,"sin_year, cos_year, year_fraction, flux_lag12",,
2013-06,ordinary least squares,12,2014-06,51.949595584980635,53.59145897698119,48,18.92414548975922,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",1.6418633920005519,0.08676023934021457
2013-06,ridge,12,2014-06,52.03656084008662,53.59145897698119,48,18.92414548975922,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",1.5548981368945647,0.08216477397809038
2013-06,random forest,12,2014-06,38.619928190298275,53.59145897698119,48,18.92414548975922,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",14.971530786682912,0.7911337816962325
2013-06,gradient boosting,12,2014-06,49.40497126663059,53.59145897698119,48,18.92414548975922,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",4.1864877103505975,0.22122466309594327
2014-03,ordinary least squares,1,2014-04,11.454533724922241,,51,20.58736253119911,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2014-03,ridge,1,2014-04,11.511343692843448,,51,20.58736253119911,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2014-03,random forest,1,2014-04,11.87120122745685,,51,20.58736253119911,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2014-03,gradient boosting,1,2014-04,15.755701779423115,,51,20.58736253119911,7,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag2, flux_lag3, flux_lag12",,
2014-03,ordinary least squares,3,2014-06,49.554938958154736,53.59145897698119,51,20.58736253119911,4,"sin_year, cos_year, year_fraction, flux_lag12",4.036520018826451,0.19606785535103433
2014-03,ridge,3,2014-06,49.71851017533136,53.59145897698119,51,20.58736253119911,4,"sin_year, cos_year, year_fraction, flux_lag12",3.8729488016498266,0.18812263085087116
2014-03,random forest,3,2014-06,34.79365653744786,53.59145897698119,51,20.58736253119911,4,"sin_year, cos_year, year_fraction, flux_lag12",18.797802439533328,0.9130748249585738
2014-03,gradient boosting,3,2014-06,45.288053845020144,53.59145897698119,51,20.58736253119911,4,"sin_year, cos_year, year_fraction, flux_lag12",8.303405131961043,0.4033253467692936
2014-03,ordinary least squares,12,2015-03,11.144813649594148,18.270999943338268,51,20.58736253119911,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",7.126186293744119,0.34614372205010446
2014-03,ridge,12,2015-03,11.303067804252516,18.270999943338268,51,20.58736253119911,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",6.967932139085752,0.3384567658205952
2014-03,random forest,12,2015-03,13.04925096843965,18.270999943338268,51,20.58736253119911,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",5.221748974898619,0.2536385594310744
2014-03,gradient boosting,12,2015-03,16.182479053328365,18.270999943338268,51,20.58736253119911,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",2.088520890009903,0.1014467436926345
2014-07,ordinary least squares,6,2015-01,16.163531147423047,15.859275612745098,54,24.375874149763785,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.3042555346779494,0.012481830715428837
2014-07,ridge,6,2015-01,13.52615958148264,15.859275612745098,54,24.375874149763785,4,"sin_year, cos_year, year_fraction, flux_lag12",2.333116031262458,0.0957141482158935
2014-07,random forest,6,2015-01,16.32517347765838,15.859275612745098,54,24.375874149763785,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.4658978649132841,0.01911307311692036
2014-07,gradient boosting,6,2015-01,15.904948398864633,15.859275612745098,54,24.375874149763785,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.0456727861195354,0.0018736881327383287
2014-07,ordinary least squares,12,2015-07,102.2499333933404,40.27710009521364,54,24.375874149763785,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-61.97283329812676,2.5423840358450205
2014-07,ridge,12,2015-07,102.06928053004494,40.27710009521364,54,24.375874149763785,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-61.792180434831295,2.5349729021073935
2014-07,random forest,12,2015-07,98.20001032574692,40.27710009521364,54,24.375874149763785,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-57.922910230533276,2.3762393042669436
2014-07,gradient boosting,12,2015-07,99.1832371849337,40.27710009521364,54,24.375874149763785,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-58.90613708972006,2.4165753698843613
2014-08,ordinary least squares,6,2015-02,10.575741280970943,14.337945119971938,55,25.347052624472564,4,"sin_year, cos_year, year_fraction, flux_lag12",3.7622038390009944,0.14842766513091896
2014-08,ridge,6,2015-02,9.517810393714477,14.337945119971938,55,25.347052624472564,4,"sin_year, cos_year, year_fraction, flux_lag12",4.820134726257461,0.19016549173072783
2014-08,random forest,6,2015-02,14.434472688312653,14.337945119971938,55,25.347052624472564,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.09652756834071496,0.003808236396192181
2014-08,gradient boosting,6,2015-02,14.409344206229216,14.337945119971938,55,25.347052624472564,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.0713990862572782,0.0028168595108506787
2014-08,ordinary least squares,12,2015-08,95.93260587686706,51.52255735937947,55,25.347052624472564,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-44.41004851748759,1.752079390666894
2014-08,ridge,12,2015-08,95.41416563248136,51.52255735937947,55,25.347052624472564,5,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13",-43.89160827310189,1.7316257208826151
